evidence_level,mode,network_size,repetition,flow_count,install_sum_us,install_mean_us,ping_success,python_cpu_s,python_max_rss_kib,trial_index,block_position
measured_emulation,direct_osken,32,16,32,187011.238,5844.1011875,1,31.273585,24576,250,2
measured_emulation,daim_process_per_rule,32,16,32,416977.698,13030.5530625,1,31.360927,24576,251,3
measured_emulation,direct_ovs_cli,32,16,32,307301.341,9603.16690625,1,31.446957,24576,252,4
measured_emulation,direct_osken,64,16,64,732183.284,11440.3638125,1,31.578695000000003,24576,253,1
measured_emulation,direct_ovs_cli,64,16,64,765676.628,11963.6973125,1,31.741939,24576,254,2
measured_emulation,daim_process_per_rule,64,16,64,1018673.565,15916.774453125,1,31.905492,24576,255,3
measured_emulation,daim_persistent,64,16,64,775025.063,12109.766609375,1,32.081045,24576,256,4
measured_emulation,direct_ovs_cli,8,17,8,78061.881,9757.735125,1,32.126731,24576,257,1
measured_emulation,daim_persistent,8,17,8,42377.636,5297.2045,1,32.150031,24576,258,2
measured_emulation,daim_process_per_rule,8,17,8,102182.895,12772.861875,1,32.172521,24576,259,3
measured_emulation,direct_osken,8,17,8,12247.577,1530.947125,1,32.1974,24576,260,4
measured_emulation,direct_osken,16,17,16,41329.34,2583.08375,1,32.234253,24576,261,1
measured_emulation,direct_ovs_cli,16,17,16,147480.902,9217.556375,1,32.276837,24576,262,2
measured_emulation,daim_process_per_rule,16,17,16,201335.728,12583.483,1,32.320145000000004,24576,263,3
measured_emulation,daim_persistent,16,17,16,113184.625,7074.0390625,1,32.367346999999995,24576,264,4
measured_emulation,daim_process_per_rule,32,17,32,417009.311,13031.54096875,1,32.443629,24576,265,1
measured_emulation,direct_ovs_cli,32,17,32,314539.069,9829.34590625,1,32.526457,24576,266,2
measured_emulation,direct_osken,32,17,32,164260.089,5133.12778125,1,32.625591,24576,267,3
measured_emulation,daim_persistent,32,17,32,254660.438,7958.1386875,1,32.715062,24576,268,4
measured_emulation,direct_ovs_cli,64,17,64,743096.956,11610.8899375,1,32.858315,24576,269,1
measured_emulation,direct_osken,64,17,64,700533.525,10945.836328125,1,33.002618,24576,270,2
measured_emulation,daim_process_per_rule,64,17,64,996319.002,15567.48440625,1,33.166636,24576,271,3
measured_emulation,daim_persistent,64,17,64,821119.164,12829.9869375,1,33.340903999999995,24576,272,4
measured_emulation,direct_ovs_cli,8,18,8,79834.856,9979.357,1,33.386511,24576,273,1
measured_emulation,direct_osken,8,18,8,8139.793,1017.474125,1,33.407618,24576,274,2
measured_emulation,daim_persistent,8,18,8,39695.377,4961.922125,1,33.432626,24576,275,3
measured_emulation,daim_process_per_rule,8,18,8,103626.591,12953.323875,1,33.455928,24576,276,4
measured_emulation,direct_osken,16,18,16,49852.699,3115.7936875,1,33.49116,24576,277,1
measured_emulation,daim_process_per_rule,16,18,16,203299.44700000001,12706.215437500001,1,33.537009,24576,278,2
measured_emulation,direct_ovs_cli,16,18,16,148461.902,9278.868875,1,33.577269,24576,279,3
measured_emulation,daim_persistent,16,18,16,93601.263,5850.0789375,1,33.62362,24576,280,4
measured_emulation,daim_persistent,32,18,32,266373.704,8324.17825,1,33.706289,24576,281,1
measured_emulation,direct_osken,32,18,32,216978.739,6780.58559375,1,33.781313,24576,282,2
measured_emulation,direct_ovs_cli,32,18,32,312113.75800000003,9753.554937500001,1,33.861537999999996,24576,283,3
measured_emulation,daim_process_per_rule,32,18,32,420861.602,13151.9250625,1,33.945152,24576,284,4
measured_emulation,direct_osken,64,18,64,715336.879,11177.138734375,1,34.08074,24576,285,1
measured_emulation,daim_persistent,64,18,64,793256.323,12394.630046875,1,34.253553,24576,286,2
measured_emulation,daim_process_per_rule,64,18,64,971681.362,15182.52128125,1,34.421394,24576,287,3
measured_emulation,direct_ovs_cli,64,18,64,773113.942,12079.90534375,1,34.58188,24576,288,4
measured_emulation,direct_ovs_cli,8,19,8,78615.282,9826.91025,1,34.630252,24576,289,1
measured_emulation,direct_osken,8,19,8,10888.28,1361.035,1,34.653997000000004,24576,290,2
measured_emulation,daim_process_per_rule,8,19,8,106014.735,13251.841875,1,34.677306,24576,291,3
