evidence_level,switch_count,method,repetition,measured,switch,direction,latency_us,returncode,stderr
measured_emulation_calibration,8,daim_adapter,4,1,s5,forward,12941.375,0,
measured_emulation_calibration,8,daim_adapter,4,1,s5,reverse,12834.791,0,
measured_emulation_calibration,8,daim_adapter,4,1,s6,forward,12268.583,0,
measured_emulation_calibration,8,daim_adapter,4,1,s6,reverse,11902.083,0,
measured_emulation_calibration,8,daim_adapter,4,1,s7,forward,12783.833,0,
measured_emulation_calibration,8,daim_adapter,4,1,s7,reverse,14197.333,0,
measured_emulation_calibration,8,daim_adapter,4,1,s8,forward,12894.333,0,
measured_emulation_calibration,8,daim_adapter,4,1,s8,reverse,11974.291,0,
measured_emulation_calibration,8,daim_adapter,5,1,s1,forward,12429.708,0,
measured_emulation_calibration,8,daim_adapter,5,1,s1,reverse,13597.708,0,
measured_emulation_calibration,8,daim_adapter,5,1,s2,forward,13105.542,0,
measured_emulation_calibration,8,daim_adapter,5,1,s2,reverse,13214.833,0,
measured_emulation_calibration,8,daim_adapter,5,1,s3,forward,13364.542,0,
measured_emulation_calibration,8,daim_adapter,5,1,s3,reverse,11806.291,0,
measured_emulation_calibration,8,daim_adapter,5,1,s4,forward,13078.791,0,
measured_emulation_calibration,8,daim_adapter,5,1,s4,reverse,12965.083,0,
measured_emulation_calibration,8,daim_adapter,5,1,s5,forward,12946.708,0,
measured_emulation_calibration,8,daim_adapter,5,1,s5,reverse,12382.792,0,
measured_emulation_calibration,8,daim_adapter,5,1,s6,forward,12534.208,0,
measured_emulation_calibration,8,daim_adapter,5,1,s6,reverse,11875.083,0,
measured_emulation_calibration,8,daim_adapter,5,1,s7,forward,12284.292,0,
measured_emulation_calibration,8,daim_adapter,5,1,s7,reverse,12156.857,0,
measured_emulation_calibration,8,daim_adapter,5,1,s8,forward,12084.725,0,
measured_emulation_calibration,8,daim_adapter,5,1,s8,reverse,11860.711,0,
measured_emulation_calibration,8,direct_ovs_ofctl,5,1,s1,forward,9378.164,0,
measured_emulation_calibration,8,direct_ovs_ofctl,5,1,s1,reverse,9362.701,0,
measured_emulation_calibration,8,direct_ovs_ofctl,5,1,s2,forward,9732.899,0,
measured_emulation_calibration,8,direct_ovs_ofctl,5,1,s2,reverse,9651.421,0,
measured_emulation_calibration,8,direct_ovs_ofctl,5,1,s3,forward,9286.298,0,
measured_emulation_calibration,8,direct_ovs_ofctl,5,1,s3,reverse,9609.512,0,
measured_emulation_calibration,8,direct_ovs_ofctl,5,1,s4,forward,8703.744,0,
measured_emulation_calibration,8,direct_ovs_ofctl,5,1,s4,reverse,9515.466,0,
measured_emulation_calibration,8,direct_ovs_ofctl,5,1,s5,forward,9716.365,0,
measured_emulation_calibration,8,direct_ovs_ofctl,5,1,s5,reverse,9021.01,0,
measured_emulation_calibration,8,direct_ovs_ofctl,5,1,s6,forward,8965.107,0,
measured_emulation_calibration,8,direct_ovs_ofctl,5,1,s6,reverse,9010.266,0,
measured_emulation_calibration,8,direct_ovs_ofctl,5,1,s7,forward,9405.006,0,
measured_emulation_calibration,8,direct_ovs_ofctl,5,1,s7,reverse,9798.437,0,
measured_emulation_calibration,8,direct_ovs_ofctl,5,1,s8,forward,9279.281,0,
measured_emulation_calibration,8,direct_ovs_ofctl,5,1,s8,reverse,9452.148,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s1,forward,9256.839,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s1,reverse,9296.227,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s2,forward,9564.521,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s2,reverse,9195.642,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s3,forward,9333.599,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s3,reverse,9440.473,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s4,forward,8982.66,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s4,reverse,9368.31,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s5,forward,9580.324,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s5,reverse,9315.457,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s6,forward,8763.993,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s6,reverse,9573.672,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s7,forward,9655.229,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s7,reverse,8935.653,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s8,forward,10109.977,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s8,reverse,8911.706,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s9,forward,9985.083,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s9,reverse,9596.893,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s10,forward,9562.263,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s10,reverse,10082.12,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s11,forward,9534.889,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s11,reverse,9485.141,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s12,forward,9735.091,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s12,reverse,9824.913,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s13,forward,9754.402,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s13,reverse,9417.372,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s14,forward,9754.16,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s14,reverse,10089.094,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s15,forward,9504.653,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s15,reverse,9262.806,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s16,forward,9189.635,0,
measured_emulation_calibration,16,direct_ovs_ofctl,0,0,s16,reverse,9913.645,0,
measured_emulation_calibration,16,daim_adapter,0,0,s1,forward,13742.163,0,
measured_emulation_calibration,16,daim_adapter,0,0,s1,reverse,12904.626,0,
measured_emulation_calibration,16,daim_adapter,0,0,s2,forward,12401.782,0,
measured_emulation_calibration,16,daim_adapter,0,0,s2,reverse,12518.896,0,
measured_emulation_calibration,16,daim_adapter,0,0,s3,forward,12324.983,0,
measured_emulation_calibration,16,daim_adapter,0,0,s3,reverse,12391.945,0,
measured_emulation_calibration,16,daim_adapter,0,0,s4,forward,11997.587,0,
measured_emulation_calibration,16,daim_adapter,0,0,s4,reverse,12934.741,0,
measured_emulation_calibration,16,daim_adapter,0,0,s5,forward,11976.342,0,
measured_emulation_calibration,16,daim_adapter,0,0,s5,reverse,12434.437,0,
measured_emulation_calibration,16,daim_adapter,0,0,s6,forward,12196.661,0,
measured_emulation_calibration,16,daim_adapter,0,0,s6,reverse,12181.866,0,
measured_emulation_calibration,16,daim_adapter,0,0,s7,forward,11823.872,0,
measured_emulation_calibration,16,daim_adapter,0,0,s7,reverse,12207.506,0,
measured_emulation_calibration,16,daim_adapter,0,0,s8,forward,12069.59,0,
measured_emulation_calibration,16,daim_adapter,0,0,s8,reverse,12637.743,0,
measured_emulation_calibration,16,daim_adapter,0,0,s9,forward,13158.487,0,
measured_emulation_calibration,16,daim_adapter,0,0,s9,reverse,12413.222,0,
measured_emulation_calibration,16,daim_adapter,0,0,s10,forward,12190.265,0,
measured_emulation_calibration,16,daim_adapter,0,0,s10,reverse,12626.031,0,
measured_emulation_calibration,16,daim_adapter,0,0,s11,forward,12634.006,0,
measured_emulation_calibration,16,daim_adapter,0,0,s11,reverse,12805.697,0,
measured_emulation_calibration,16,daim_adapter,0,0,s12,forward,12884.762,0,
measured_emulation_calibration,16,daim_adapter,0,0,s12,reverse,12566.52,0,
measured_emulation_calibration,16,daim_adapter,0,0,s13,forward,13023.66,0,
measured_emulation_calibration,16,daim_adapter,0,0,s13,reverse,12271.718,0,
measured_emulation_calibration,16,daim_adapter,0,0,s14,forward,12029.14,0,
measured_emulation_calibration,16,daim_adapter,0,0,s14,reverse,12488.912,0,
measured_emulation_calibration,16,daim_adapter,0,0,s15,forward,12888.851,0,
